ID,Start time,Completion time,Email,Name,Full name,Email address (please use email that you will actually check!),Phone number,"What is your degree field? Major or minor, please select all that apply",Degree: Rate how important it is to match this criteria with your mentor,What degree level do you hope to achieve?,Level: Rate how important it is to match this criteria with your mentor,When is your expected graduation term?,Did you participate in this program during the 2022/2023 academic year?,Have you previously participated in a different formal mentoring program?,What would you hope to gain from being mentored. You may select more than one.,"Are you prepared to commit two to three hours each month to this program? 
Regular meetings with a mentor may only be one or two hours, but further time will be required to follow up on discussion...","Are you prepared to take full responsibility for driving a mentorship?
Participating students are expected to be responsible for contacting your mentor to set up meeting, following up where approp...",Gender,Gender: Rate how important it is to match this criteria with your mentor,Race/ Ethnicity (select as many that apply) ,Ethnicity: Rate how important it is to match this criteria with your mentor,Military Status in any branch of the US Armed Forces,Military Status: Rate how important it is to match this criteria with your mentor,"Are you a first generation college student? For our purposes, the definition of a first generation college student is:
A student neither of whose natural or adoptive parents received a baccalaurea...",First Generation: Rate how important it is to match this criteria with your mentor,"For in person meetings, what area of San Diego county would you prefer to meet with your mentee?",Location: Rate how important it is to match this criteria with your mentor,"Please insert the URL to your LinkedIn profile. If you don't have one yet, it is highly recommended that you set one up now. ",I understand that this program is NOT a job placement program. I understand that the program allows me an opportunity to enhance my professional and interpersonal skills while developing my career...,"Will you be able to attend the live kick-off event on September 5, 2023 and the closing event on April 30, 2024?",Is there any additional information that you would like us to know?
1,4/22/23 11:22:43,4/22/23 11:24:50,anonymous,,Archer Marks,Archer.Marks@csusm.edu,6195555555,Biotechnology,4- Extremely important,Bachelors ,2- Neutral,,No,Yes,Help me identify professional opportunities that may be of interest to me.;How I can overcome any personal challenges I am facing.;,Yes,Yes,Male,0- Extremely not important,Latinx/Hispanic;,1- Somewhat not important,No military service,0- Extremely not important,Yes,4- Extremely important,South County (Chula Vista/ El Cajon/ National City? Otay/ San Diego),2- Neutral,linkedin.com/in/test,Yes,Yes,Test free response answer
2,4/25/23 20:29:33,4/25/23 20:34:39,anonymous,,Monica Davila,Monica.Davila@csusm.edu,888-888-8888,Biological Sciences,3- Somewhat important,Doctorate ,2- Neutral,Spring 2024,I signed up but didn't participate. ,No,How I can overcome any personal challenges I am facing.;Someone I can trust and talk to about my fears and help me develop myself personally and professionally.;,Yes,Yes,Male,3- Somewhat important,Caucasian/Non-Hispanic;,1- Somewhat not important,No military service,0- Extremely not important,Yes,2- Neutral,Escondido,0- Extremely not important,https://www.linkedin.com/in/spiderman1,Yes,Only the kick-off event,No
3,4/29/23 5:36:23,4/29/23 5:44:28,anonymous,,Grey Navarro,Grey.Navarro@csusm.edu,888-888-8889,Wildfire Science,0- Extremely not important,Bachelors,1- Somewhat not important,Spring 2025,No,Yes,Insight on how skills and theories I learn during my undergraduate education are important to my field of interest and pursuits beyond college.,No,Yes,Male,4- Extremely important,Latinx/Hispanic,1- Somewhat not important,Veteran,1- Somewhat not important,No,3- Somewhat important,Vista,2- Neutral,,No,No,
4,5/2/23 14:43:13,5/2/23 14:54:17,anonymous,,Winter Doyle,Winter.Doyle@csusm.edu,888-888-8890,Wildfire Science,3- Somewhat important,Masters,2- Neutral,Fall 2023,I signed up but didn't participate. ,Yes,Insight on how skills and theories I learn during my undergraduate education are important to my field of interest and pursuits beyond college.,Yes,No,Female,2- Neutral,Asian,1- Somewhat not important,Active reservists,2- Neutral,Yes,3- Somewhat important,San Marcos,1- Somewhat not important,,Yes,No,
5,5/5/23 23:50:03,5/6/23 0:04:06,anonymous,,Kashton Harrington,Kashton.Harrington@csusm.edu,888-888-8891,Wildfire Science,2- Neutral,Bachelors,4- Extremely important,Spring 2025,Yes,No,Help me identify professional opportunities that may be of interest to me.,No,Yes,Male,0- Extremely not important,Prefer not to say,3- Somewhat important,Active duty,4- Extremely important,Yes,4- Extremely important,San Marcos,2- Neutral,,Yes,No,
6,5/9/23 8:56:53,5/9/23 9:13:55,anonymous,,Legacy Curtis,Legacy.Curtis@csusm.edu,888-888-8892,Biological Sciences,0- Extremely not important,Doctorate,0- Extremely not important,Spring 2025,Yes,No,Help me identify professional opportunities that may be of interest to me.,Yes,No,Female,1- Somewhat not important,Native Hawaiian or Pacific Islander,1- Somewhat not important,No military service,1- Somewhat not important,Yes,2- Neutral,Vista,3- Somewhat important,,Yes,No,
7,5/12/23 18:03:43,5/12/23 18:23:44,anonymous,,Muhammad Novak,Muhammad.Novak@csusm.edu,888-888-8893,Biological Sciences,0- Extremely not important,Doctorate,2- Neutral,Fall 2023,I signed up but didn't participate. ,Yes,Insight on how skills and theories I learn during my undergraduate education are important to my field of interest and pursuits beyond college.,No,Yes,Female,2- Neutral,Prefer not to say,1- Somewhat not important,Active reservists,0- Extremely not important,No,3- Somewhat important,San Marcos,1- Somewhat not important,,No,No,
8,5/16/23 3:10:33,5/16/23 3:33:33,anonymous,,Kaiya Bradford,Kaiya.Bradford@csusm.edu,888-888-8894,Wildfire Science,0- Extremely not important,Masters,1- Somewhat not important,Fall 2023,Yes,No,Insight on how skills and theories I learn during my undergraduate education are important to my field of interest and pursuits beyond college.,No,Yes,Female,2- Neutral,Caucasian/Non-Hispanic,4- Extremely important,Veteran,1- Somewhat not important,No,3- Somewhat important,Oceanside,2- Neutral,,Yes,Yes,
9,5/19/23 12:17:23,5/19/23 12:43:22,anonymous,,Ander Dunn,Ander.Dunn@csusm.edu,888-888-8895,Biological Sciences,0- Extremely not important,Masters,3- Somewhat important,Spring 2025,No,Yes,Insight on how skills and theories I learn during my undergraduate education are important to my field of interest and pursuits beyond college.,No,No,Non-binary/ third gender,3- Somewhat important,Native Hawaiian or Pacific Islander,3- Somewhat important,Veteran,3- Somewhat important,No,2- Neutral,Escondido,1- Somewhat not important,,No,No,
10,5/22/23 21:24:13,5/22/23 21:53:11,anonymous,,Olive Bravo,Olive.Bravo@csusm.edu,888-888-8896,Wildfire Science,0- Extremely not important,Bachelors,3- Somewhat important,Fall 2024,Yes,Yes,Insight on how skills and theories I learn during my undergraduate education are important to my field of interest and pursuits beyond college.,Yes,Yes,Non-binary/ third gender,0- Extremely not important,Prefer not to say,4- Extremely important,Veteran,1- Somewhat not important,Yes,4- Extremely important,Oceanside,3- Somewhat important,,Yes,No,
